clinic,city,department,job_title,qualification,pay_grade,pay_text,housing,housing_quote,employment_type,requirements_must,experience_required,confidence,confidence_why,job_url
Universitätsklinikum Erlangen,Erlangen,KMT-Station,Pflegefachmann Knochenmarktransplantation (m/w/d),fachweiterbildung,,Eingruppierung entsprechend Tarifvertrag TV-L anhand Ihrer Qualifikation und persönlichen Voraussetzungen,unklar,,vollzeit_teilzeit,"Sie haben eine erfolgreich abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (m/w/d) | Sie haben bereits Vorerfahrungen in der onkologischen Pflege in einem Krankenhaus gesammelt | Sie sind flexibel, engagiert und haben Interesse an regelmäßiger fachspezifischer Qualifizierung | Sie zeichnen sich durch gestalterisches Denken und effektives Handeln sowie ein reflektiertes berufliches Selbstverständnis aus",,5,,https://www.karriere.uk-erlangen.de/job/pflegefachmann-knochenmarktransplantation-m-w-d-inz-gkp-kmt-2026-09-08/
Universitätsklinikum Erlangen,Erlangen,Arbeitsbereich OP,Pflegefachmann OP HNO-Klinik (m/w/d),pflegefachkraft,,,unklar,,vollzeit_teilzeit,"Sie haben eine abgeschlossene Ausbildung zum Pflegefachmann (m/w/d) | Sie verfügen über persönliche, soziale und fachliche Kompetenz | Sie arbeiten gerne im interdisziplinären Team | Flexibilität, Engagement und Interesse an regelmäßiger fachlicher Qualifikation sind für Sie selbstverständlich",,5,,https://www.karriere.uk-erlangen.de/job/pflegefachmann-op-hno-klinik-m-w-d-13706/
Universitätsklinikum Erlangen,Erlangen,Allgemeinstation mit onkologischem Schwerpunkt der Strahlenklinik,Pflegefachmann Strahlenklinik (m/w/d),fachweiterbildung,,Eingruppierung entsprechend Tarifvertrag TV-L anhand Ihrer Qualifikation und persönlichen Voraussetzungen in die Entgeltgruppe KR8 oder ggf. KR9,unklar,,vollzeit_teilzeit,"Sie haben eine erfolgreich abgeschlossene Ausbildung als Pflegefachmann (m/w/d) | Sie verfügen über persönliche, soziale und fachliche Kompetenzen sowie Verantwortungsbewusstsein und Kooperationsbereitschaft gegenüber anderen Berufsgruppen | Sie sind flexibel, engagiert und haben Interesse an regelmäßiger fachspezifischer Qualifizierung | Sie zeichnen sich durch gestalterisches Denken und effektives Handeln sowie ein reflektiertes berufliches Selbstverständnis aus",,5,,https://www.karriere.uk-erlangen.de/job/pflegefachmann-strahlenklinik-m-w-d-inz-pfk-st-2026-09-08/
Universitätsklinikum Erlangen,Erlangen,nuklearmedizinische Therapiestation mit acht Behandlungsplätzen,Pflegefachmann Therapiestation Nuklearmedizin (m/w/d),fachweiterbildung,,Eingruppierung anhand Ihrer Qualifikation und persönlichen Voraussetzungen gemäß TV-L,unklar,,vollzeit_teilzeit,"Sie haben eine erfolgreich abgeschlossene Ausbildung als Pflegefachmann (m/w/d) | Sie haben bereits Vorerfahrungen in der onkologischen Pflege in einem Krankenhaus gesammelt | Sie sind flexibel, engagiert und haben Interesse an regelmäßiger fachspezifischer Qualifizierung | Sie zeichnen sich durch gestalterisches Denken und effektives Handeln sowie ein reflektiertes berufliches Selbstverständnis aus",Sie haben bereits Vorerfahrungen in der onkologischen Pflege in einem Krankenhaus gesammelt,5,,https://www.karriere.uk-erlangen.de/job/pflegefachmann-therapiestation-nuklearmedizin-m-w-d-inz-gkp-nuc-2026-09-08/
Universitätsklinikum Erlangen,Erlangen,FlexTEAM,Pflegefachperson mit Weiterbildung für unser FlexTEAM (m/w/d),fachweiterbildung,,"Am Uniklinikum Erlangen wenden wir Tarifverträge an (TV-L/TV-Ä), die Ihre Bezahlung festlegen.",unklar,,,"Eine erfolgreich abgeschlossene Ausbildung als Pflegefachperson (m/w/d) mit Weiterbildung | Freude an der Arbeit in unterschiedlichen Teams und Fachbereichen | Verantwortungsbewusstsein, Engagement und kooperative Zusammenarbeit mit allen Berufsgruppen",,5,,https://www.karriere.uk-erlangen.de/job/pflegefachperson-mit-weiterbildung-fuer-unser-flexteam-m-w-d-13439/
Universitätsklinikum Erlangen,Erlangen,Allgemeinstationen der Neurochirurgischen Klinik,Stellvertretende Stationsleitung Neurochirurgie (m/w/d),leitung,,Beabsichtigte Eingruppierung je nach Qualifikation und persönlichen Voraussetzungen gemäß TV-L,unklar,,vollzeit_teilzeit,"Erfolgreich abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (m/w/d) | Bereitschaft, die Weiterbildung zur Leitung einer Station zu absolvieren | persönliche, soziale und fachliche Kompetenz sowie Verantwortungsbewusstsein und Kooperationsbereitschaft gegenüber anderen Berufsgruppen | Flexibilität, Engagement und Interesse an regelmäßiger fachspezifischer Qualifizierung",,5,,https://www.karriere.uk-erlangen.de/job/stellvertretende-stationsleitung-neurochirurgie-m-w-d-kk-nc-allg-stvsl-2026-09-15/
Universitätsklinikum Erlangen,Erlangen,Allgemeinstationen der Neurochirurgischen Klinik,Stellvertretende Stationsleitung Neurochirurgie (m/w/d),leitung,,Beabsichtigte Eingruppierung je nach Qualifikation und persönlichen Voraussetzungen gemäß TV-L,unklar,,vollzeit_teilzeit,"Erfolgreich abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (m/w/d) | Bereitschaft, die Weiterbildung zur Leitung einer Station zu absolvieren | persönliche, soziale und fachliche Kompetenz sowie Verantwortungsbewusstsein und Kooperationsbereitschaft gegenüber anderen Berufsgruppen | Flexibilität, Engagement und Interesse an regelmäßiger fachspezifischer Qualifizierung",,5,,https://www.karriere.uk-erlangen.de/job/stellvertretende-stationsleitung-neurochirurgie-m-w-d-kk-nc-allg-stvsl-2026-09-17/
Universitätsklinikum Regensburg,Regensburg,Kinder- und Jugendmedizin,Gesundheits- & Kinderkrankenpfleger (m/w/d),pflegefachkraft,,,unklar,,,,,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://jobs.ukr.de/de/jobposting/feaec3fcf2a934ff717733dd287f9112a6be88260/apply
Universitätsklinikum Regensburg,Regensburg,,Gesundheits- & Krankenpfleger (m/w/d),pflegefachkraft,,,unklar,,,,,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://jobs.ukr.de/de/jobposting/473394a44d34467cdd0a009d8f20edb5f91149800/apply
Universitätsklinikum Regensburg,Regensburg,"Intensiveinheiten (Chirurgische, Internistische, Neurochirurgische Intensiveinheit)",Gesundheits- und Krankenpfleger (m/w/d) für Intensiveinheiten,pflegefachkraft,,TV-L KR 8 bis KR 9,unklar,,Vollzeit oder Teilzeit; Unbefristet; Ab sofort,Erfolgreich abgeschlossene Ausbildung als Gesundheits- und (Kinder-) Krankenpfleger,idealerweise mit Abschluss der Fachweiterbildung in der Intensivpflege und Anästhesie,4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.ukr.de/jobposting/5de38f1a55a2fb4130402cf617105bef1f0a7cf00
Universitätsklinikum Regensburg,Regensburg,Anästhesiebereich,Gesundheits- und Krankenpfleger (m/w/d) und Anästhesietechnische Assistenten (m/w/d) für den Anästhesiebereich,pflegefachkraft,,TV-L KR 8 bis KR 9,unklar,,Vollzeit oder Teilzeit; Unbefristet,Erfolgreich abgeschlossene Ausbildung als Gesundheits- und (Kinder-) Krankenpfleger oder Anästhesietechnischer Assistent,,4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.ukr.de/jobposting/0347b98851bf1c2ba9a0401b34216a75113f74c50
Universitätsklinikum Regensburg,Regensburg,,Operationstechnischer Assistent (m/w/d),ota_ata,,,unklar,,,,,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://jobs.ukr.de/de/jobposting/5f785d50a28397bf13b31acd3edd1602a269ba4f0/apply
Universitätsklinikum Regensburg,Regensburg,"Station 13, Klinik und Poliklinik für Strahlentherapie / Abteilung Nuklearmedizin",Pflegefachmann / Pflegefachfrau (m/w/d) für die Station 13 der Klinik und Poliklinik für Strahlentherapie / Abteilung Nuklearmedizin,pflegefachkraft,,TV-L - KR 8,unklar,,Vollzeit oder Teilzeit; Unbefristet,Erfolgreich abgeschlossene Ausbildung in der Gesundheits- und Krankenpflege,"Berufserfahrung im Bereich der Onkologie wünschenswert; onkologische Fachweiterbildung oder Palliative Care (oder die Bereitschaft, diese zu absolvieren)",4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.ukr.de/jobposting/d7986df20ba6be6aad634ae22a937079bb25933c0
Universitätsklinikum Regensburg,Regensburg,IMC-Einheiten (Stroke Unit),Pflegefachpersonen (m/w/d) für die IMC-Einheiten (Stroke Unit),pflegefachkraft,,TV-L KR 8 bis KR 9,unklar,,Vollzeit oder Teilzeit; Unbefristet,Erfolgreich abgeschlossene Ausbildung in der Gesundheits- und (Kinder-) Krankenpflege,,4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.ukr.de/jobposting/22096197a471715d25a89831fa516997486b39ce0
Universitätsklinikum Regensburg,Regensburg,Dialyse (Nephrologie),Pflegefachpersonen (m/w/d) oder Medizinische Fachangestellte (m/w/d) für die Dialyse,pflegefachkraft,,"TV-L KR 8 bis KR 9, MFA E6",unklar,,Vollzeit oder Teilzeit; Unbefristet,Erfolgreich abgeschlossene Ausbildung in der Gesundheits- und Krankenpflege oder Medizinischen Fachassistenz,Berufserfahrung im Bereich der Nephrologie ... wünschenswert,4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.ukr.de/jobposting/6b6c451420a34da41052beac64e3022dfd2d9a040
Universitätsklinikum Würzburg,Würzburg,"Stroke Unit, Neurologische Klinik",Pflegefachkraft (m/w/d),pflegefachkraft,,Vergütung nach dem TV-L + monatliche universitäre Pflegezulage,unklar,,"in Voll- oder Teilzeit, unbefristet",Abgeschlossenes Examen als Pflegefachmann/-frau,,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://karriere.ukw.de/de/p/pflegeundfunktionsdienst/jobs/11447/pflegefachkraft-mwd-stroke-unit
Universitätsklinikum Würzburg,Würzburg,"Station M62 (Dialyse), Medizinische Klinik I",Pflegefachkraft (m/w/d),pflegefachkraft,,Vergütung nach dem TV-L + monatliche universitäre Pflegezulage,unklar,,"in Teilzeit (19,25h)",Abgeschlossene Ausbildung als Pflegefachfrau/-mann,Gerne Vorkenntnisse im Bereich der Nephrologie bzw. Erfahrung in der Dialyse (wünschenswert),3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://karriere.ukw.de/de/p/pflegeundfunktionsdienst/jobs/11834/pflegefachkraft-mwd-station-m62-dialyse
Universitätsklinikum Würzburg,Würzburg,"Herzkatheterlabor, Medizinische Klinik I",Pflegefachkraft* und/oder Anästhesietechnische/n Assistenten/in und/oder Notfallsanitäter/in (m/w/d) und/oder Medizinische/r Fachangestellte/r (m/w/d),pflegefachkraft,,Vergütung nach dem TV-L + monatliche universitäre Pflegezulage,unklar,,"in Voll- oder Teilzeit, unbefristet",Abgeschlossenes Examen als Pflegefachfrau/-mann und/oder als Anästhesietechnische/-n Assistenten/-in und/oder als Notfallsanitäter/in und/oder als Medizinische/r Fachangestellte/r,Gerne praktische Erfahrung im IMC-/Intensiv-/OP-Bereich und/oder der Kardiologie (wünschenswert),3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://karriere.ukw.de/de/p/pflegeundfunktionsdienst/jobs/11835/pflegefachkraft-undoder-anasthesietechnischen-assistentenin-undoder-notfallsanitaterin-mwd-undoder-medizinischer-fachangestellter-mwd-herzkatheterlabor
Universitätsklinikum Würzburg,Würzburg,Kinderpalliativteam Unterfranken,"Pflegefachkraft, Gesundheits- und (Kinder)Krankenpfleger (m/w/d) ambulantes Kinderpalliativteam",pflegefachkraft,,"Eine tarifliche Vergütung nach AVR-Caritas, inkl. Jahressonderzahlungen sowie eine arbeitgeberfinanzierte betriebliche Altersvorsorge",unklar,,vollzeit_teilzeit,"Ausbildung zum Gesundheits- und Kinderkrankenpfleger, Pflegefachfrau/Pflegefachmann, Gesundheits- und Krankenpfleger (m/w/d) | Erfahrung in der Betreuung chronisch kranker Kinder | Zusatzqualifikation Palliative Care oder die Bereitschaft diese zu erwerben | Einsatzbereitschaft und Freude an den Mitgestaltungsmöglichkeiten | Selbständige und strukturierte und gewissenhafte Arbeitsweise | Führerschein Klasse B | Bereitschaft zur regelmäßigen Teilnahme am Rufbereitschaftsdienst und an Supervisionen | Einfühlungsvermögen, soziale Kompetenz und Teamfähigkeit",Erfahrung in der Betreuung chronisch kranker Kinder,4,Klinik nach Anzeigenort korrigiert,https://jobs.malteser.de/de/job-offer-list/job-detail/Pflegefachkraft%2C-Gesundheits-und-Kinder-Krankenpfleger-m-w-d-ambulantes-Kinderpalliativteam-14462.html
Universitätsklinikum Würzburg,Würzburg,"Neurologische Normalstation NL 6 West, Kopfklinikum",Stellvertretende Stationsleitung (m/w/d),leitung,,Vergütung nach dem TV-L + monatliche universitäre Pflegezulage,unklar,,"in Vollzeit (38,5 Wochenstunden) oder Teilzeit",Abgeschlossenes Examen als Pflegefachmann/-frau oder AltenpflegerIn | Weiterbildung zur Leitung einer Station oder die Bereitschaft diese zu absolvieren,Eine Weiterbildung zur Leitung einer Station oder die Bereitschaft diese zu absolvieren,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://karriere.ukw.de/de/p/pflegeundfunktionsdienst/jobs/11449/stellvertretende-stationsleitung-mwd-6-west
Urologische Klinik München - Planegg,Planegg,,OP-Pflegekräfte / OP-Fachpersonal (w/m/d),unklar,,,,,,,,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.ukmp.de/karriere/stellenangebote/op-pflegekraefte-op-fachpersonal-w-m-d.html
VITREA Klinik Kipfenberg,Kipfenberg,,Pflegefachhelfer (m/w/d) Kipfenberg Lesen,hilfskraft,,,unklar,,vollzeit_teilzeit,"Natürlich benötigst du die einjährige Ausbildung zum Pflegefachhelfer, Altenpflegehelfer oder Krankenpflegehelfer.",,5,,https://www.vitrea-gesundheit.de/karriere/job-finden/stellendetail/1713-000035/pflegefachhelfer-m-w-d
VITREA Klinik Kipfenberg,Kipfenberg,,Pflegefachkraft (m/w/d) Kipfenberg Lesen,pflegefachkraft,,,unklar,,vollzeit_teilzeit,"Eine Ausbildung zur Pflegefachkraft oder eine gleichwertige Ausbildung (Altenpflege, Gesundheits- und Krankenpfleger, Krankenschwester) ist natürlich nötig.",,5,,https://www.vitrea-gesundheit.de/karriere/job-finden/stellendetail/1713-000010/pflegefachkraft-m-w-d
VITREA Klinik Kipfenberg,Kipfenberg,Querschnittzentrum,Pflegefachkraft (m/w/d) für unser Querschnittzentrum Kipfenberg Lesen,pflegefachkraft,,,unklar,,vollzeit_teilzeit,Eine Ausbildung zur Pflegefachkraft ist natürlich nötig.,,5,,https://www.vitrea-gesundheit.de/karriere/job-finden/stellendetail/1713-000025/pflegefachkraft-m-w-d-fuer-unser-querschnittzentrum
VITREA Klinik Kipfenberg,Kipfenberg,Frühreha,Pflegefachkraft (m/w/d) für unsere Frühreha Kipfenberg Lesen,pflegefachkraft,,,unklar,,vollzeit_teilzeit,Eine Ausbildung zur Pflegefachkraft ist natürlich nötig.,,5,,https://www.vitrea-gesundheit.de/karriere/job-finden/stellendetail/1713-000026/pflegefachkraft-m-w-d-fuer-unsere-fruehreha
VITREA Klinik Kipfenberg,Kipfenberg,Intensivstation,Pflegefachkraft (m/w/d) für unsere Intensivstation Kipfenberg Lesen,pflegefachkraft,,,unklar,,vollzeit_teilzeit,"Eine Ausbildung zur Pflegefachkraft oder eine gleichwertige Ausbildung (Altenpflege, Gesundheits- und Krankenpfleger, Krankenschwester) ist natürlich nötig.",,5,,https://www.vitrea-gesundheit.de/karriere/job-finden/stellendetail/1713-000027/pflegefachkraft-m-w-d-fuer-unsere-intensivstation
VITREA Klinik Kipfenberg,Kipfenberg,Springerpool,Pflegefachkraft (m/w/d) oder Pflegefachhelfer (m/w/d) für den Springerpool Kipfenberg Lesen,pflegefachkraft,,,unklar,,,Eine Ausbildung zur Pflegefachkraft oder zum Pflegefachhelfer ist natürlich nötig.,,5,,https://www.vitrea-gesundheit.de/karriere/job-finden/stellendetail/1713-000002/pflegefachkraft-m-w-d-oder-pflegefachhelfer-m-w-d-fuer-den-springerpool
Veramed-Klinik am Wendelstein,Brannenburg,,Gesundheits- und Krankenpfleger (m/w/d) Voll- / Teilzeit ab sofort,pflegefachkraft,,Leistungsgerechte Bezahlung,,,vollzeit_teilzeit,"Sie haben eine abgeschlossene Berufsausbildung zum Gesundheits- und Krankenpfleger (m/w/d) oder Altenpfleger (m/w/d) | Erfahrungen in der Onkologie wären wünschenswert, sind aber keine Bedingung | Sie sind ein absoluter Teamplayer und fühlen sich in einem familiären Umfeld wohl | Gute Deutschkenntnisse runden Ihr Profil ab","Erfahrungen in der Onkologie wären wünschenswert, sind aber keine Bedingung",3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.veramed.de/stellenangebote/gesundheits-und-krankenpfleger/
Veramed-Klinik am Wendelstein,Brannenburg,,Gesundheits- und Krankenpfleger im Nachtdienst (m/w/d) Voll- / Teilzeit ab sofort,pflegefachkraft,,Leistungsgerechte Bezahlung,,,vollzeit_teilzeit,"Sie haben eine abgeschlossene Berufsausbildung zum Gesundheits- und Krankenpfleger (m/w/d) oder Altenpfleger (m/w/d) | Erfahrungen in der Onkologie wären wünschenswert, sind aber keine Bedingung | Sie sind ein absoluter Teamplayer und fühlen sich in einem familiären Umfeld wohl | Gute Deutschkenntnisse runden Ihr Profil ab","Erfahrungen in der Onkologie wären wünschenswert, sind aber keine Bedingung",3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.veramed.de/stellenangebote/gesundheits-und-krankenpfleger-im-nachtdienst/
Waldkrankenhaus St. Marien,Erlangen,Allgemeinstationen,Gesundheits- und Krankenpfleger (m/w/d) für unsere Allgemeinstationen,pflegefachkraft,,Vergütung nach AVR Caritas,ja,Unterstützung bei der Wohnungssuche,"Vollzeit (38,5 Std.) ∼ Unbefristet",abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger:in,praktische Erfahrung,4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.malteser.de/de/job-offer-list/job-detail/Gesundheits-und-Krankenpfleger-m-w-d-fuer-unsere-Allgemeinstationen-1625.html
Waldkrankenhaus St. Marien,Erlangen,Geriatrie-Zentrum Erlangen,Gesundheits- und Krankenpfleger bzw. Altenpfleger (m/w/d) für das Geriatrie-Zentrum Erlangen,pflegefachkraft,,Vergütung nach AVR Caritas,ja,Unterstützung bei der Wohnungssuche,"Vollzeit (38,5 Std.) ∼ Unbefristet",Abgeschlossene Ausbildung als Gesundheits- und Krankenpflegerin oder Altenpflegerin (m/w/d),,4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.malteser.de/de/job-offer-list/job-detail/Gesundheits-und-Krankenpfleger-m-w-d-%2C-Altenpfleger-m-w-d-fuer-das-Geriatrie-Zentrum-Erlangen-1622.html
Waldkrankenhaus St. Marien,Erlangen,interdisziplinäre Privatstation,Gesundheits- und Krankenpfleger oder Altenpfleger (m/w/d) für die interdisziplinäre Privatstation,pflegefachkraft,,Attraktive Vergütung nach AVR-Caritas mit Sozialleistungen,unklar,Unterstützung bei der Wohnungssuche,vollzeit,"Abgeschlossene Ausbildung als Gesundheits- und Krankenpflegerin oder Altenpflegerin (m/w/d) | Freude am persönlichen Umgang mit Patient*innen und an der aktiven Beziehungsgestaltung in einem anspruchsvollen, interdisziplinären Umfeld. | Einfühlungsvermögen, patientenorientiertes Denken und ein hohes Maß an persönlichem Engagement in der Betreuung von Patient*innen. | Begeisterung für die Arbeit in einem interdisziplinären Team und ein respektvolles, wertschätzendes Miteinander. | Bereitschaft, Verantwortung zu übernehmen sowie eine strukturierte, flexible und lösungsorientierte Arbeitsweise, auch in herausfordernden Situationen. | Identifikation mit den Zielen und Werten einer katholischen Einrichtung und die Bereitschaft, diese aktiv mitzugestalten.",,5,,https://jobs.malteser.de/de/job-offer-list/job-detail/Gesundheits-und-Krankenpfleger-oder-Altenpfleger-m-w-d-fuer-die-interdisziplinaere-Privatstation-5303.html
Waldkrankenhaus St. Marien,Erlangen,Geriatrische Rehabilitation,"Gesundheits- und Krankenpfleger, Altenpfleger oder Gesundheits- und Krankenpflegehelfer (m/w/d) für die Station der Geriatrischen Rehabilitation",pflegefachkraft,,Vergütung nach den Arbeitsvertragsrichtlinien des Deutschen Caritasverbandes (AVR) mit allen Sozialleistungen und zusätzlicher Altersversorgung (TVöD angelehnt),unklar,Unterstützung bei der Wohnungssuche,,"Sie haben eine abgeschlossene Ausbildung zum/zur Gesundheits- und Krankenpfleger/in, Altenpfleger/in oder Gesundheits-und Krankenpflegehelfer/in | Sie haben Freude am Umgang und der Beziehungsgestaltung mit geriatrischen Patienten | Sie zeichnen sich durch patientenorientiertes Denken, soziale Kompetenz und persönliches Engagement aus | Sie haben Freude an der Arbeit in einem interdisziplinären Team und am kollegialen Miteinander | Sie übernehmen Verantwortung und Flexibilität gehört zu ihren Stärken | Die Identifikation mit unseren Zielen als katholische Einrichtung setzen wir voraus",,5,,https://jobs.malteser.de/de/job-offer-list/job-detail/Gesundheits-und-Krankenpfleger%2C-Altenpfleger-oder-Gesundheits-und-Krankenpflegehelfer-m-w-d-fuer-die-Station-der-Geriatrischen-Rehabilitation-5179.html
Waldkrankenhaus St. Marien,Erlangen,Geriatrie-Zentrum,"Gesundheits-und Krankenpfleger (m/w/d), Altenpfleger (m/w/d) für das Geriatrie-Zentrum",pflegefachkraft,,Attraktive Vergütung nach AVR-Caritas mit Sozialleistungen,unklar,Unterstützung bei der Wohnungssuche,vollzeit,"Abgeschlossene Ausbildung als Gesundheits- und Krankenpflegerin oder Altenpflegerin (m/w/d) – mit Interesse an der geriatrischen Pflege | Freude am Umgang mit älteren Menschen und an der aktiven Beziehungsgestaltung im geriatrischen Umfeld | Patientenorientiertes Denken, Einfühlungsvermögen und ein hohes Maß an persönlichem Engagement | Freude an der Arbeit in einem interdisziplinären Team und am wertschätzenden Miteinander | Bereitschaft, Verantwortung zu übernehmen sowie eine strukturierte, flexible und lösungsorientierte Arbeitsweise | Identifikation mit den Zielen einer katholischen Einrichtung und die Bereitschaft, diese aktiv mitzugestalten",,5,,https://jobs.malteser.de/de/job-offer-list/job-detail/Gesundheits-und-Krankenpfleger-m-w-d-%2C-Altenpfleger-m-w-d-fuer-das-Geriatrie-Zentrum-1622.html
Waldkrankenhaus St. Marien,Erlangen,Anästhesiepflege,Kommissarische Funktionsleitung Anästhesiepflege (m/w/d),leitung,,Vergütung nach den Arbeitsvertragsrichtlinien des Deutschen Caritasverbandes (AVR) mit allen Sozialleistungen und zusätzlicher Altersversorgung (TVöD angelehnt),unklar,Unterstützung bei der Wohnungssuche,befristet,"Abgeschlossene Berufsausbildung als examinierte/r Gesundheits- und Krankenpfleger/-in (m/w/d) | Leitungsausbildung oder Studium im Bereich Pflegemanagement bzw. die Bereitschaft dazu sind wünschenswert | Fachliche, soziale Kompetenz sowie Flexibilität für eine hohe Mitarbeitermotivation und -führung | Handlungsstärke und Durchsetzungsvermögen, um Aufgabenstellungen, Veränderungsprozesse und neue Konzepte zielstrebig umzusetzen | Ausgeprägte organisatorische, kommunikative und interkulturelle Kompetenzen | Bereitschaft, sich selbst weiterzuentwickeln und Verantwortung zu übernehmen | Positive Einstellung zum Beruf sowie Freude an der Arbeit in einem interdisziplinären Team und am kollegialen Miteinander | Die Identifikation mit unseren Zielen als katholische Einrichtung setzen wir voraus",,5,,https://jobs.malteser.de/de/job-offer-list/job-detail/Kommissarische-Funktionsleitung-Anaesthesiepflege-m-w-d-14583.html
Waldkrankenhaus St. Marien,Erlangen,OP-Bereich,OTA Praxisanleiter für unseren OP-Bereich (m/w/d),ota_ata,,Attraktive Vergütung nach AVR-Caritas mit Sozialleistungen,unklar,Unterstützung bei der Wohnungssuche für einen stressfreien Start bei uns,vollzeit,Abgeschlossene Ausbildung als Operationstechnische Assistenz (OTA) | Weiterbildung zur Praxisanleitung: Idealerweise haben Sie die Weiterbildung zur Praxisanleitung bereits abgeschlossen | Leidenschaft für Ausbildung und Förderung im OP-Bereich | Fachliche Kompetenz und Verantwortungsbewusstsein | Teamfähigkeit und interdisziplinäre Zusammenarbeit | Bereitschaft zur Teilnahme am Rufdienst,,5,,https://jobs.malteser.de/de/job-offer-list/job-detail/OTA-Praxisanleiter-fuer-unseren-OP-Bereich-m-w-d-11701.html
Waldkrankenhaus St. Marien,Erlangen,OP,Operationstechnische Assistenten bzw. Operationspflegefachkräfte (m/w/d),ota_ata,,Vergütung nach AVR Caritas,ja,Unterstützung bei der Wohnungssuche,"Vollzeit (38,5 Std.) ∼ Unbefristet",Abgeschlossene Ausbildung als Operationstechnischer Assistent oder Gesundheits- und Krankenpfleger mit OP-Fachweiterbildung,OP-Fachweiterbildung (bei Pflegefachkraft),4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.malteser.de/de/job-offer-list/job-detail/Operationstechnische-Assistenten-m-w-d-bzw.-Operationspflegefachkraefte-10996.html
Waldkrankenhaus St. Marien,Erlangen,,Pflegefachhelfer (m/w/d),hilfskraft,,Attraktive Vergütung nach AVR-Caritas mit Sozialleistungen,unklar,Unterstützung bei der Wohnungssuche für einen stressfreien Start bei uns,vollzeit,"Abgeschlossene Ausbildung als Pflegefachhelfer (m/w/d) | Freude und Empathie im Umgang mit älteren, hilfsbedürftigen Menschen | Patientenorientiertes Denken , soziale Kompetenz und persönliches Engagement | Freude an der Arbeit in einem interdisziplinären Team und kollegialem Miteinander | Freude an selbständiger und verantwortungsvoller Arbeit | Kenntnisse zum wirtschaftlichen Einsatz von Sachmitteln | Eigeninitiative und Flexibilität sowie Team- und Kommunikationsfähigkeit | Identifikation mit unseren Zielen als katholische Einrichtung setzen wir voraus",,5,,https://jobs.malteser.de/de/job-offer-list/job-detail/Pflegefachhelfer-m-w-d-9668.html
Waldkrankenhaus St. Marien,Erlangen,interdisziplinäre Aufnahmestation mit 6 IMC Betten und Interventionsraum,Pflegefachkraefte%2C Gesundheits und Krankenpfleger%2C Altenpflegefachkraefte oder Notfallsanitaeter m w d fuer interdisziplinaere Aufnahmestation mit 6 IMC Betten und Interventionsraum 12469,pflegefachkraft,,Vergütung nach den Arbeitsvertragsrichtlinien des Deutschen Caritasverbandes (AVR) mit allen Sozialleistungen und zusätzlicher Altersversorgung (TVöD angelehnt),unklar,Unterstützung bei der Wohnungssuche,,"Sie haben eine abgeschlossene Ausbildung zur/zum Pflegefachfrau oder Pflegefachmann, Altenpflegefachkraft oder Notfallsanitäter | Erfahrung im Bereich IMC oder zentrale Notaufnahme ist wünschenswert | Motivation zum aktivem Mitgestalten von neuen Prozessen | Freude am Umgang und der Beziehungsgestaltung mit Patienten unterschiedlicher Fachdisziplinen | Sie zeichnen sich durch patientenorientiertes Denken, soziale Kompetenz und persönliches Engagement aus | Lust auf Veränderung und Offenheit für Neues | Freude an der Arbeit in einem interdisziplinären und interprofessionellen Team und kollegialem Miteinander | Verantwortung, Flexibilität und Stressresistenz gehören zu ihren Stärken",,5,,https://jobs.malteser.de/de/job-offer-list/job-detail/Pflegefachkraefte%2C-Gesundheits-und-Krankenpfleger%2C-Altenpflegefachkraefte-oder-Notfallsanitaeter-m-w-d-fuer-interdisziplinaere-Aufnahmestation-mit-6-IMC-Betten-und-Interventionsraum-12469.html
